Word,Time_s,F1_Hz,F2_Hz,F3_Hz,F4_Hz
great,2.350038,503.571559,1845.655753,2159.6795,3536.658221
great,2.356288,507.884992,2085.808749,2299.920922,3574.875892
great,2.362538,488.207256,2070.21889,2554.801955,3578.42253
great,2.368788,468.707597,1930.683198,2632.306649,3566.042429
great,2.375038,439.362978,1897.204581,2621.122081,3577.26936
great,2.381288,383.497199,1896.866007,2588.651082,3570.461085
great,2.387538,324.497224,1946.061825,2589.056942,3566.277613
great,2.393788,320.404621,1974.307767,2631.222561,3577.420363
great,2.400038,277.886246,1937.503338,2680.303409,3613.201908
great,2.406288,288.058863,1926.059231,2719.061325,3675.327138
great,2.412538,327.30225,2015.205898,2759.461859,3647.888703
great,2.418788,345.660027,2035.765491,2814.301971,3656.953579
great,2.425038,300.054758,2022.320679,2843.885932,3688.775994
great,2.431288,320.294858,2078.8209,2897.37155,3743.655588
great,2.437538,370.982152,2077.612486,2920.283556,3598.706278
great,2.443788,379.217299,2061.89135,2917.16186,3518.155226
great,2.450038,380.475727,2055.002247,2915.699133,3494.568413
great,2.456288,386.451257,2124.237448,2940.16008,3567.785341
great,2.462538,368.618268,2152.999242,2976.192952,3713.530873
great,2.468788,349.659483,2136.593649,2905.054173,3839.758278
great,2.475038,350.697843,2118.616045,2851.654525,4168.550451
great,2.481288,337.476863,2082.85118,2827.831355,4306.9906
great,2.487538,339.072655,2057.552793,2850.452588,4101.419133
great,2.493788,327.04208,2132.23432,2884.231273,4118.150092
great,2.500038,2179.725676,2989.493379,4182.123555,4698.379227
great,2.506288,2035.552615,3063.226558,4222.804893,4680.249142
great,2.512538,558.527902,1923.984504,2972.766447,4067.617392
great,2.518788,511.882711,2038.109496,2857.98601,3882.860419
great,2.525038,723.538094,2523.109272,3611.514953,4715.955399
great,2.531288,1255.26484,2538.533849,3817.081014,4772.961432
great,2.537538,1526.580851,2591.463779,3833.330885,4811.069472
great,2.543788,803.476587,1997.293192,2492.34291,3866.779678
great,2.550038,1159.288197,2577.060198,3498.210666,4450.240534
great,2.556288,1055.879583,2359.923639,3451.444229,4397.281025
great,2.562538,1179.384215,2182.003217,3284.515945,4416.520092
great,2.568788,922.670396,2113.867684,3440.267358,4420.110557
great,2.575038,1039.705581,2181.74444,3424.803799,4454.428068
great,2.581288,986.438367,2501.812733,3373.483317,4420.475819
great,2.587538,778.303577,2492.145918,2923.955445,4480.749838
great,2.593788,731.597228,2476.204061,3090.660732,4503.17472
great,2.600038,668.830575,2386.245368,3248.418909,4486.34348
great,2.606288,733.097461,2365.181242,3100.001806,4466.895769
great,2.612538,1330.477317,2347.865399,3167.684418,4349.506388
great,2.618788,1456.651394,2358.237889,3273.798361,4177.704673
great,2.625038,1477.333088,2360.395156,3035.672885,4049.823795
great,2.631288,997.192017,2424.367598,3108.730308,4178.916062
great,2.637538,2431.934531,2449.31462,3629.530669,4471.91682
great,2.643788,1656.589964,2417.07692,3550.738996,4465.363434
great,2.650038,1684.800905,2365.261968,3465.972047,4470.735709
great,2.656288,1863.326149,2351.102309,3493.351723,4474.225163
great,2.662538,1816.50447,2399.504348,3527.117853,4529.569595
great,2.668788,1832.51927,2477.958254,3533.234349,4549.221501
great,2.675038,1820.771016,2480.013778,3507.694481,4510.789059
great,2.681288,1778.605023,2457.841886,3497.417812,4550.783458
great,2.687538,1754.18839,2293.978778,3527.494618,4758.265847
great,2.693788,1616.383743,2275.669185,3571.126716,4784.077665
great,2.700038,1409.075203,2240.555418,3658.984911,4873.136895
great,2.706288,948.482105,2099.906485,3568.004202,4600.812263
great,2.712538,1030.066955,2196.628779,3638.045647,4862.983034
great,2.718788,1165.389563,2242.544275,3691.140981,4945.628238
great,2.725038,1081.405746,2092.144607,3621.726842,5081.354025
great,2.731288,972.029304,1884.539169,3213.539019,3894.940158
great,2.737538,1250.022655,1913.062694,3181.03991,3995.303966
great,2.743788,928.261562,1980.73507,3149.054012,4343.644375
great,2.750038,944.644867,2110.545013,3342.803892,4397.992789
great,2.756288,975.748657,2075.87879,3211.635966,4162.910074
